Drug,Class
Carbinoxamine, First Generation Antihistamines
Histrelin, Gonadotropins
Hizentra,Immune globulins
Tucatinib, Antineoplastic Agents
Pfizerpen,Natural penicillins
D.H.E. 45,Antimigraine agents
Vyepti,CGRP inhibitors
Vyleesi Injection,Melanocortin receptor agonists
Vyndaqel,Transthyretin stabilizers
Vyondys 53,Miscellaneous uncategorized agents
Vytone Cream,Topical steroids with anti-infectives
Vytorin,Antihyperlipidemic combinations
Vyvanse,CNS stimulants
Vyxeos,Antineoplastic combinations
Tudorza Pressair,Anticholinergic bronchodilators
Vyzulta,Ophthalmic glaucoma agents
Elagolix, Antigonadotropins
"Elagolix, Estradiol, and Norethindrone",Estrogen and Progestin Combination
Elaprase,Lysosomal enzymes
Elavil,Tricyclic antidepressants
Elbasvir and Grazoprevir, HCV Replication Complex Inhibitors
Eldepryl Capsules,Dopaminergic antiparkinsonism agents
Eldepryl Tablets,Dopaminergic antiparkinsonism agents
Elepsia XR,Pyrrolidine anticonvulsants
Elestat,Ophthalmic antihistamines and decongestants
Tukysa,HER2 inhibitors
Elestrin,Estrogens
Eletriptan, Selective Serotonin Agonists
"Elexacaftor, Tezacaftor, And Ivacaftor", Cystic Fibrosis Transmembrane Conductance Regulator Correctors
Elidel,Miscellaneous topical agents
Eligard,Gonadotropin releasing hormones
Eliglustat, Other Miscellaneous Therapeutic Agents
Elimite,Topical anti-infectives
Eliphos,Minerals and electrolytes
Eliquis,Factor Xa inhibitors
Elitek,Antihyperuricemic agents
Turalio,Multikinase inhibitors
Elixophyllin,Methylxanthines
Ella,Progesterone receptor modulators
Ellence,Antibiotics / antineoplastics
Elmiron,Miscellaneous genitourinary tract agents
Elocon,Topical steroids
Eloctate,Miscellaneous coagulation modifiers
Elosulfase Alfa, Enzymes
Elotuzumab, Antineoplastic Agents
Eloxatin,Alkylating agents
Eltrombopag, Hematopoietic Agents
TussiCaps,Upper respiratory combinations
Eluxadoline," GI Drugs, Miscellaneous"
Elvitegravir,"Antiretroviral, Integrase Inhibitor (Anti-HIV)"
"Elvitegravir, Cobicistat, Emtricitabine, and Tenofovir Alafenamide", HIV Integrase Inhibitors
Elyxyb,Cox-2 inhibitors
Elzonris,Miscellaneous antineoplastics
Inomax,Miscellaneous respiratory agents
Inapsine,Miscellaneous central nervous system agents
Inbrija,Dopaminergic antiparkinsonism agents
Incivek,Protease inhibitors
IncobotulinumtoxinA, Other Miscellaneous Therapeutic Agents
Phosphasal,Urinary antispasmodics
Hydrocodone and Guaifenesin,Antitussive/Expectorant
Increlex,Insulin-like growth factors
Incruse Ellipta,Anticholinergic bronchodilators
Indacaterol, Selective beta-2-Adrenergic Agonists
Indacaterol and Glycopyrrolate,Anticholinergic Agent
Indapamide, Thiazide-like Diuretics
Inderal,Group II antiarrhythmics
Inderal LA,Group II antiarrhythmics
Inderide,Beta blockers with thiazides
Indinavir, HIV Protease Inhibitors
Tussigon,Upper respiratory combinations
In-111 DTPA,Diagnostic radiopharmaceuticals
Indocin Suppository,Nonsteroidal anti-inflammatory drugs
Indocin SR,Nonsteroidal anti-inflammatory drugs
Indocin Suspension,Nonsteroidal anti-inflammatory drugs
Inebilizumab-cdon, Immunomodulatory Agents
Infanrix,Vaccine combinations
Infasurf,Lung surfactants
Infed,Iron products
Inflectra,TNF alfa inhibitors
"Infliximab, Infliximab-dyyb", Disease-modifying Antirheumatic Drugs
Tussin DM,Upper respiratory combinations
Influenza A Vaccine,Viral vaccines
Influenza A Virus Vaccine (H5N1),Vaccine
Infugem,Antimetabolites
Infumorph,Narcotic analgesics
Ingenol Mebutate," Skin and Mucous Membrane Agents, Miscellaneous"
Ingrezza,VMAT2 inhibitors
Injectafer,Iron products
Inlyta,Multikinase inhibitors
InnoPran XL,Group II antiarrhythmics
Tussionex Pennkinetic,Upper respiratory combinations
Innohep,Heparins
Inotersen, Antisense Oligonucleotides
Inotuzumab, Antineoplastic Agents
inqovi,Antineoplastic combinations
Inrebic,Multikinase inhibitors
Inspra,Aldosterone receptor antagonists
Insulin Aspart Protamine and Insulin Aspart,"Insulin, Combination"
Insulin Degludec, Long-acting Insulins
Insulin Degludec and Liraglutide,"Antidiabetic Agent, Glucagon-Like Peptide-1 (GLP-1) Receptor Agonist"
Insulin Glargine, Long-acting Insulins
Tussionex,Upper respiratory combinations
Insulin Glargine and Lixisenatide,"Antidiabetic Agent, Glucagon-Like Peptide-1 (GLP-1) Receptor Agonist"
Insulin Glulisine, Rapid-acting Insulins
Insulin (Oral Inhalation),"Insulin, Rapid-Acting"
Insulin NPH,"Insulin, Intermediate-Acting"
Insulin NPH and Insulin Regular,"Insulin, Combination"
Insulin Lispro Protamine and Insulin Lispro,"Insulin, Combination"
Intal,Mast cell stabilizers
Integrilin,Glycoprotein platelet inhibitors
Intelence,NNRTIs
Interferon Gamma, Immunomodulatory Agents
Hydrocodone and Guaifenesin Oral Solution,Upper respiratory combinations
Interferon Alfa-2b,"Antineoplastic Agent, Biological Response Modulator"
Interferon Alfa-n3,Interferon
Interferon Beta-1b,Interferon
Intermezzo,"Miscellaneous anxiolytics, sedatives and hypnotics"
Intron A,Antineoplastic interferons
Introvale,Contraceptives
Intuniv,"Antiadrenergic agents, centrally acting"
Invanz,Carbapenems
Invega,Atypical antipsychotics
Codeine and Chlorpheniramine ER Tablets,Upper respiratory combinations
Invega Hafyera,Atypical antipsychotics
Invega Sustenna,Atypical antipsychotics
Invega Trinza,Atypical antipsychotics
Inveltys,Ophthalmic steroids
Mecamylamine Hydrochloride Tablets,"Antiadrenergic agents, peripherally acting"
Invirase,Protease inhibitors
Invokamet,Antidiabetic combinations
Invokamet XR,Antidiabetic combinations
Invokana,SGLT-2 inhibitors
Smallpox and Monkeypox Vaccine (Live),Vaccine
Tuxarin,Upper respiratory combinations
Boniva,Bisphosphonates
Bonjesta,Miscellaneous antiemetics
Bontril,Anorexiants
Boostrix,Vaccine combinations
Bortezomib, Antineoplastic Agents
Bosentan, Vasodilating Agents
Bosulif,BCR-ABL tyrosine kinase inhibitors
Bosutinib, Antineoplastic Agents
Botox,Skeletal muscle relaxants
Botox Cosmetic,Skeletal muscle relaxants
Tuzistra XR,Upper respiratory combinations
Botulism Immune Globulin, Antitoxins and Immune Globulins
Sodium Acetate,"Electrolyte Supplement, Parenteral"
Anticoagulant Sodium Citrate,Anticoagulant
Sodium Citrate and Citric Acid Oral Solution,Minerals and electrolytes
Sodium Iodide I131,Antithyroid Agent
Sodium Phenylacetate and Sodium Benzoate, Ammonia Detoxicants
Sodium Phenylbutyrate Tablets,Urea cycle disorder agents
Sodium Phenylbutyrate Powder,Urea cycle disorder agents
Sodium Polystyrene Sulfonate, Potassium-removing Agents
Sodium Tetradecyl Sulfate, Sclerosing Agents
Wynzora Cream,Topical antipsoriatics
Sodium Thiosulfate,Antidote
Sodium Nitrite and Sodium Thiosulfate,Antidote
Sodium Oxybate," Central Nervous System Agents, Miscellaneous"
Sofosbuvir, HCV Polymerase Inhibitors
"Sofosbuvir, Velpatasvir, And Voxilaprevir", HCV Polymerase Inhibitors
Sogroya,Growth hormones
Sojourn Inhalant,General anesthetics
Solage,Miscellaneous topical agents
Solaraze,Topical non-steroidal anti-inflammatories
Solia,Contraceptives
Sodium Phosphates,Laxatives
Calcipotriene and Betamethasone Topical Suspension,Topical antipsoriatics
Solifenacin, Antimuscarinics
Soliqua 100/33,Antidiabetic combinations
Soliris,Selective immunosuppressants
Solodyn,Tetracyclines
Solosec,Amebicides
Solriamfetol, Wakefulness-promoting Agents
Soltamox,Hormones / antineoplastics
Solu-Cortef,Glucocorticoids
Solu-Medrol,Glucocorticoids
Soma,Skeletal muscle relaxants
Guanabenz,"Antiadrenergic agents, centrally acting"
"Carisoprodol, Aspirin, Codeine",Skeletal muscle relaxant combinations
Somapacitan,Growth Hormone
Somatropin,Growth Hormone
Somatuline Depot,Somatostatin and somatostatin analogs
Somavert,Growth hormone receptor blockers
Sonata,"Miscellaneous anxiolytics, sedatives and hypnotics"
Sonidegib, Antineoplastic Agents
Soolantra Cream,Topical anti-infectives
SORAfenib, Antineoplastic Agents
Sorbitol,Genitourinary Irrigant
Plan B,Contraceptives
Soriatane,Antipsoriatics
Sorilux,Topical antipsoriatics
Sorine,Group III antiarrhythmics
Sotalol, beta-Adrenergic Blocking Agents
Sotradecol,Sclerosing agents
Sotret,Miscellaneous antineoplastics
Sotrovimab Injection,Miscellaneous antivirals
Sotylize,Group III antiarrhythmics
Sovaldi,Miscellaneous antivirals
Furosemide, Loop Diuretics
Plan B One-Step,Contraceptives
Spectazole,Topical antifungals
Spectracef,Third generation cephalosporins
Spinosad, Scabicides and Pediculicides
Spinraza,Miscellaneous uncategorized agents
Spiriva,Anticholinergic bronchodilators
Spiriva Respimat,Anticholinergic bronchodilators
Spironolactone, Mineralocorticoid (Aldosterone) Receptor Antagonists
Hydrochlorothiazide and Spironolactone,Antihypertensive
Sporanox,Azole antifungals
Spravato,Miscellaneous antidepressants
Plaquenil,Antimalarial quinolines
Sprintec,Contraceptives
Sprix Nasal Spray,Nonsteroidal anti-inflammatory drugs
Sprycel,BCR-ABL tyrosine kinase inhibitors
NP Thyroid 30,Thyroid drugs
NP Thyroid 60,Thyroid drugs
Nplate,Platelet-stimulating agents
Vraylar,Atypical antipsychotics
Blenoxane,Antibiotics / antineoplastics
Blenrep,Miscellaneous antineoplastics
Bleomycin, Antineoplastic Agents
Plasbumin,Plasma expanders
Bleph-10,Ophthalmic anti-infectives
Blephamide Ophthalmic Suspension,Ophthalmic steroids with anti-infectives
Blephamide,Ophthalmic steroids with anti-infectives
Blinatumomab, Antineoplastic Agents
Blincyto,Miscellaneous antineoplastics
Blisovi 24 Fe,Contraceptives
Blocadren,Non-cardioselective beta blockers
Bloxiverz Injection,Cholinergic muscle stimulants
Lac-Hydrin,Topical emollients
LAClotion,Topical emollients
Albumin Human, Blood Derivatives
Lacosamide," Anticonvulsants, Miscellaneous"
Lacrisert,Ophthalmic lubricants and irrigations
Lactase,Enzyme
Lactic Acid E Cream,Miscellaneous topical agents
Lactic Acid Cream,Miscellaneous topical agents
Lactitol,Ammonium Detoxicant
Lamictal,Triazine anticonvulsants
Lamotrigine," Anticonvulsants, Miscellaneous"
Lamictal XR,Triazine anticonvulsants
Lamisil,Miscellaneous antifungals
Ringers,Intravenous nutritional products
Lamisil AT,Topical antifungals
Lamisil AT Spray,Topical antifungals
Lamisil AT Continuous Spray,Topical antifungals
Lamivudine and Zidovudine,"Antiretroviral, Reverse Transcriptase Inhibitor, Nucleoside (Anti-HIV)"
Lamivudine and Tenofovir Disoproxil Fumarate,"Antiretroviral, Reverse Transcriptase Inhibitor, Nucleoside (Anti-HIV)"
Lampit,Miscellaneous antibiotics
Lamprene,Leprostatics
Lanadelumab-flyo, Complement Inhibitors
"Butalbital,Aspirin and Caffeine Capsule",Analgesic combinations
Lanoxicaps,Group V antiarrhythmics
Dextrose in Ringer's,Intravenous nutritional products
Lanoxin,Group V antiarrhythmics
Lanreotide, Somatostatin Agonists
Lanthanum, Phosphate-removing Agents
Lantus,Insulin
Lapatinib, Antineoplastic Agents
Lariam,Antimalarial quinolines
Larin 1/20,Contraceptives
Laronidase, Enzymes
Larotrectinib, Antineoplastic Agents
Lartruvo,Miscellaneous antineoplastics
Dextrose and Electrolyte No 48,Intravenous nutritional products
Lasix,Loop diuretics
Lasmiditan, Selective Serotonin Agonists
Lastacaft,Ophthalmic antihistamines and decongestants
Latanoprost, Prostaglandin Analogs
Latanoprostene Bunod, Prostaglandin Analogs
Latuda,Atypical antipsychotics
Lazanda Nasal Spray,Narcotic analgesics
Wakix Tablets,CNS stimulants
Warfarin, Coumarin Derivatives
Phosphocol P 32,Therapeutic radiopharmaceuticals
Platinol,Alkylating agents
Sodium Iodide I 123,Diagnostic radiopharmaceuticals
Yellow Fever Vaccine, Vaccines
Yervoy,Anti-CTLA-4 monoclonal antibodies
Yescarta,Miscellaneous antineoplastics
Decadron,Glucocorticoids
Decitabine, Antineoplastic Agents
Deferiprone, Heavy Metal Antagonists
Deferoxamine, Heavy Metal Antagonists
Defibrotide," Antithrombotic Agents, Miscellaneous"
Definity,Ultrasound contrast media
Platinol-AQ,Alkylating agents
Definity RT,Ultrasound contrast media
Defitelio,Miscellaneous coagulation modifiers
Deflazacort, Adrenals
Degarelix, Antigonadotropins
Dehydrated Alcohol, Sclerosing Agents
DexPak 10 Day TaperPak,Glucocorticoids
Delafloxacin, Quinolones
Delatestryl,Androgens and anabolic steroids
Delavirdine,"Antiretroviral, Reverse Transcriptase Inhibitor, Non-nucleoside (Anti-HIV)"
Delestrogen,Estrogens
Plavix,Platelet aggregation inhibitors
Delos Lotion,Topical acne agents
Delos Liquid,Topical acne agents
Delstrigo,Antiviral combinations
Deltasone,Glucocorticoids
Delzicol,5-aminosalicylates
Demadex,Loop diuretics
Demeclocycline, Tetracyclines
Demerol,Narcotic analgesics
Demser,Miscellaneous cardiovascular agents
Denavir,Topical antivirals
Plazomicin, Aminoglycosides
Dengue Vaccine Live, Vaccines
Denosumab, Bone Resorption Inhibitors
Dentagel,Mouth and throat products
Deoxycholic Acid, Other Miscellaneous Therapeutic Agents
Depacon,Fatty acid derivative anticonvulsants
Depakene,Fatty acid derivative anticonvulsants
Depakote,Fatty acid derivative anticonvulsants
Depakote Pellets,Fatty acid derivative anticonvulsants
Depakote ER,Fatty acid derivative anticonvulsants
Plecanatide," GI Drugs, Miscellaneous"
Depakote Capsules,Fatty acid derivative anticonvulsants
Depen,Antirheumatics
Depo-Estradiol,Estrogens
Depo-Medrol,Glucocorticoids
Depo-Provera,Contraceptives
Depo-Provera Contraceptive,Contraceptives
Depo-Testosterone,Androgens and anabolic steroids
DermOtic Oil,Otic steroids
Derma-Smoothe/FS,Topical steroids
Plegridy,Interferons
Dermasorb HC,Topical steroids
Dermasorb TA,Topical steroids
Dermasorb XM,Topical emollients
Dermatop Cream,Topical steroids
Dermatop Ointment,Topical steroids
DesOwen,Topical steroids
Descovy,Antiviral combinations
Desferal,Antidotes
Desflurane Liquid,General anesthetics
Desipramine, Tricyclics and Other Norepinephrine-reuptake Inhibitors
Plendil,Calcium channel blocking agents
Desirudin, Direct Thrombin Inhibitors
Desloratadine, Second Generation Antihistamines
Desmopressin, Pituitary
Desogen,Contraceptives
Desonate,Topical steroids
Desoxyn,Anorexiants
Desvenlafaxine, Selective Serotonin- and Norepinephrine-reuptake Inhibitors
Desyrel,Phenylpiperazine antidepressants
Detectnet,Diagnostic radiopharmaceuticals
Detrol,Urinary antispasmodics
Plenvu,Laxatives
Detrol LA,Urinary antispasmodics
Deutetrabenazine, Vesicular Monoamine Transporter 2 (VMAT2) Inhibitors
Dexbrompheniramine and Phenylephrine,Alkylamine Derivative
Dexchlorpheniramine,Alkylamine Derivative
Dexchlorpheniramine and Pseudoephedrine,Alkylamine Derivative
Dexedrine,CNS stimulants
Dexferrum Injection,Iron products
Dexilant,Proton pump inhibitors
Dexlansoprazole, Proton-pump Inhibitors
Dexmedetomidine," Anxiolytics, Sedatives, and Hypnotics; Miscellaneous"
Plerixafor, Hematopoietic Agents
Dexmethylphenidate, Respiratory and CNS Stimulants
Dexrazoxane, Protective Agents
Dextenza Insert,Ophthalmic steroids
Dextran 75,Plasma expanders
Dextromethorphan and Pyrilamine,Antitussive
Dextromethorphan and quiNIDine," Central Nervous System Agents, Miscellaneous"
"Guaifenesin, Pseudoephedrine, and Dextromethorphan",Antitussive/Decongestant/Expectorant
Dextrose, Caloric Agents
Dextrose Injection,Glucose elevating agents
Dextrostat,CNS stimulants
Pletal,Miscellaneous cardiovascular agents
Dexycu,Ophthalmic steroids
Yondelis,Alkylating agents
Yonsa,Miscellaneous antineoplastics
Yosprala,Platelet aggregation inhibitors
Equagesic,Analgesic combinations
Healthy Accents All Day Allergy,Antihistamines
Berkley and Jensen Acid Controller Maximum Strength,H2 antagonists
Equetro,Dibenzazepine anticonvulsants
Ipilimumab, Antineoplastic Agents
IPOL,Viral vaccines
Olaparib, Antineoplastic Agents
Natalizumab, Immunomodulatory Agents
Urin D/S,Urinary antispasmodics
Urised,Urinary antispasmodics
Urispas,Urinary antispasmodics
Urocit-K,Urinary pH modifiers
Urofollitropin,Gonadotropin
Urogesic Blue,Urinary antispasmodics
Uroxatral,"Antiadrenergic agents, peripherally acting"
Urso,Gallstone solubilizing agents
tiaGABine," Anticonvulsants, Miscellaneous"
Tiazac,Calcium channel blocking agents
Natamycin, Antifungals
Tibsovo,Miscellaneous antineoplastics
Ticarcillin and Clavulanate Potassium,"Antibiotic, Penicillin"
TICE BCG,Miscellaneous antineoplastics
Ticlid,Platelet aggregation inhibitors
Ticlopidine, Platelet-aggregation Inhibitors
Tigan,Anticholinergic antiemetics
Tigecycline, Glycylcyclines
Tiglutik,Miscellaneous central nervous system agents
Tikosyn,Group III antiarrhythmics
Timentin Add-Vantage,Beta-lactamase inhibitors
Natazia,Contraceptives
Timolol (Systemic), beta-Adrenergic Blocking Agents
Timolol (EENT), beta-Adrenergic Blocking Agents
Timoptic,Ophthalmic glaucoma agents
Timoptic XE,Ophthalmic glaucoma agents
Tindamax,Amebicides
Tinidazole," Antiprotozoals, Miscellaneous"
Tiotropium, Antimuscarinics/Antispasmodics
Tipranavir, HIV Protease Inhibitors
Tirofiban, Platelet-aggregation Inhibitors
Tirosint,Thyroid drugs
Nateglinide, Meglitinides
Tisagenlecleucel,"Antineoplastic Agent, Anti-CD19"
TissueBlue,Ophthalmic diagnostic agents
Tivicay,Integrase strand transfer inhibitor
Tivorbex,Nonsteroidal anti-inflammatory drugs
Vumerity,Selective immunosuppressants
Vumon,Mitotic inhibitors
Vusion,Topical antifungals
MVC-Fluoride,Vitamin and mineral combinations
MVASI,VEGF / VEGFR inhibitors
Natesto Nasal Gel,Androgens and anabolic steroids
E-Z-Cat Dry,Non-iodinated contrast media
E-Z-HD,Non-iodinated contrast media
E-Z Paque,Non-iodinated contrast media
Ezallor Sprinkle,Statins
Ezetimibe, Cholesterol Absorption Inhibitors
Ezetimibe and Simvastatin,"Antilipemic Agent, 2-Azetidinone"
Ezogabine,"Anticonvulsant, Neuronal Potassium Channel Opener"
Aimovig,CGRP inhibitors
Air Compressed,Medical gas
AirDuo Digihaler,Bronchodilator combinations
Natpara,Parathyroid hormone and analogs
AirDuo Respiclick,Bronchodilator combinations
Peanut Allergen Powder,Allergen-Specific Immunotherapy
Pedi-Dri Powder,Topical antifungals
Pediaderm AF,Topical antifungals
Pediaderm TA Cream,Topical steroids
Pediapred Oral Solution,Glucocorticoids
Pediarix,Vaccine combinations
Pediotic,Otic steroids with anti-infectives
Pegintron,Antineoplastic interferons
Peganone,Hydantoin anticonvulsants
Natrecor,Vasodilators
Pegaptanib," EENT Drugs, Miscellaneous"
Pegaspargase, Antineoplastic Agents
Pegasys,Antiviral interferons
Peginterferon Alfa-2a,Interferon
Peginterferon Alfa-2b,"Antineoplastic Agent, Biological Response Modulator"
Peginterferon Beta-1a, Immunomodulatory Agents
Pegloticase, Antigout Agents
Pegvaliase-pqpz, Enzymes
Pegvisomant, Somatotropin Antagonists
Pemazyre,Multikinase inhibitors
Natroba,Topical anti-infectives
Pembrolizumab, Antineoplastic Agents
PEMEtrexed, Antineoplastic Agents
Pemigatinib, Antineoplastic Agents
Pemirolast, Antiallergic Agents
Penciclovir, Antivirals
Penicillamine, Heavy Metal Antagonists
Penicillin G, Natural Penicillins
Penicillin G Injection,Natural penicillins
Penicillin G (Parenteral/,"Antibiotic, Penicillin"
